SAMPLE_ID,FASTQ1,FASTQ2
SRR19544450,SRR19544450_1.fastq.gz,SRR19544450_2.fastq.gz
SRR19544453,SRR19544453_1.fastq.gz,SRR19544453_2.fastq.gz
